user_id,result
1,"[856942, 5577022, 934369, 1075074, 1021164]"
2,"[1040807, 911974, 1075368, 8090521, 1021324]"
3,"[998206, 937791, 1092026, 1092937, 1013928]"
4,"[883932, 902172, 910109, 1075368, 1082627]"
6,"[1037863, 9911484, 863447, 13003092, 1108094]"
7,"[1122358, 12731436, 828867, 6602729, 974156]"
8,"[969932, 1127624, 972931, 12302069, 919766]"
9,"[907647, 6534030, 862799, 952317, 9655676]"
13,"[1038985, 965772, 1042942, 882604, 1029688]"
14,"[910673, 1009187, 1013928, 1127758, 6533765]"
15,"[901666, 991592, 1070820, 895268, 1025435]"
16,"[923149, 12263439, 12263788, 1035843, 833940]"
17,"[896085, 944486, 5568072, 963971, 948670]"
18,"[1116821, 1135768, 1022066, 1081189, 1134483]"
19,"[962229, 1048727, 910673, 1075470, 6533765]"
20,"[1075368, 1126899, 1055425, 1123106, 6533765]"
22,"[1104349, 944836, 883003, 900311, 956599]"
23,"[1075368, 1034176, 1005274, 1138858, 906335]"
24,"[1124695, 859237, 1016800, 999971, 970152]"
25,"[1012284, 1075786, 1097001, 854133, 906844]"
26,"[5591154, 978129, 831536, 1070015, 904129]"
27,"[963686, 7409957, 861445, 1012284, 9655676]"
28,"[6533368, 992730, 1112238, 892531, 9859017]"
29,"[1083446, 5568721, 1033615, 935284, 1038663]"
30,"[1062572, 995852, 969866, 910473, 836445]"
31,"[1062128, 971922, 1057260, 848015, 921438]"
32,"[1094924, 868888, 8293447, 1003649, 959737]"
33,"[6533765, 871756, 920844, 1025611, 1038663]"
34,"[879755, 909268, 993638, 819927, 6533765]"
35,"[819978, 1115175, 6534030, 953539, 9521787]"
36,"[1007136, 865705, 861445, 1096317, 826666]"
37,"[1097001, 1046689, 1056212, 916381, 948670]"
39,"[1127716, 1138487, 944836, 1058930, 970747]"
40,"[1056651, 1055504, 895268, 970160, 964717]"
41,"[909714, 1120009, 1077430, 827806, 874972]"
42,"[1076195, 890127, 946839, 1098910, 968072]"
43,"[1120741, 1106301, 821787, 1042942, 6391137]"
44,"[1009187, 1030318, 1048440, 961620, 836445]"
46,"[890695, 862335, 7442008, 849843, 9655679]"
47,"[934948, 859427, 6533681, 6534077, 12262778]"
48,"[7168759, 956813, 826816, 9420312, 5591777]"
49,"[893501, 1139782, 8090536, 862349, 901067]"
51,"[1101174, 902172, 1082212, 8015407, 904129]"
52,"[972665, 1074754, 879280, 883940, 1056740]"
53,"[5569471, 6034857, 902238, 9487606, 906335]"
55,"[844165, 882496, 883932, 1097280, 999747]"
56,"[1056651, 963835, 6533608, 1011926, 849202]"
57,"[848319, 1105917, 7409957, 989409, 1000753]"
58,"[1054216, 916758, 1058997, 854754, 1018818]"
59,"[1056509, 1024032, 957951, 1057260, 12810391]"
60,"[919534, 856435, 1098435, 863802, 874972]"
62,"[8090509, 1125530, 32916, 1090931, 1129049]"
63,"[7431408, 1040346, 1062572, 1125123, 6533765]"
64,"[1093413, 928049, 912137, 952893, 1013928]"
65,"[906262, 962229, 834103, 1011300, 1038663]"
67,"[971922, 1104414, 7025114, 1112825, 1034176]"
68,"[1085604, 1075470, 861445, 1110572, 1134483]"
69,"[1044188, 1127470, 910673, 933067, 982469]"
70,"[1039156, 887691, 1130375, 5995692, 5586797]"
71,"[1056509, 1110764, 926905, 1091365, 1008288]"
72,"[5585510, 862349, 9296919, 935126, 874972]"
73,"[1130581, 897752, 7024847, 1005186, 1048257]"
74,"[1126045, 1085369, 1063207, 7166723, 12731432]"
76,"[854754, 985386, 1054080, 899682, 1111080]"
77,"[1126899, 1055425, 1093966, 819927, 930870]"
78,"[5591154, 849843, 8205218, 9420336, 829291]"
79,"[1053690, 1018670, 861445, 862349, 1103513]"
80,"[1055504, 939636, 969866, 910673, 1013928]"
81,"[844165, 898847, 845193, 910673, 982469]"
82,"[880150, 1084036, 1119761, 1000753, 849202]"
83,"[819302, 954102, 1059902, 1037332, 1048257]"
84,"[903529, 920025, 829722, 5569374, 12731432]"
